well,od,time
A 1,0.0470,0.00
A 1,0.0467,1199.99
A 1,0.0463,2399.99
A 1,0.0464,3599.99
A 1,0.0471,4799.99
A 1,0.0459,5999.99
A 1,0.0465,7199.99
A 1,0.0465,8399.99
A 1,0.0463,9599.99
A 1,0.0451,10799.99
A 1,0.0459,11999.99
A 1,0.0458,13199.99
A 1,0.0457,14399.99
A 1,0.0461,15599.99
A 1,0.0456,16799.99
A 1,0.0452,17999.99
A 1,0.0456,19199.99
A 1,0.0454,20399.99
A 1,0.0456,21599.99
A 1,0.0455,22799.99
A 1,0.0453,23999.99
A 1,0.0447,25199.99
A 1,0.0453,26399.99
A 1,0.0448,27599.99
A 1,0.0447,28799.99
A 1,0.0450,29999.99
A 1,0.0447,31199.99
A 1,0.0446,32399.99
A 1,0.0440,33599.99
A 1,0.0439,34799.99
A 1,0.0435,35999.99
A 1,0.0437,37199.99
A 1,0.0436,38399.99
A 1,0.0432,39599.99
A 1,0.0432,40799.99
A 1,0.0429,41999.99
A 1,0.0419,43199.99
A 1,0.0418,44399.99
A 1,0.0416,45599.99
A 1,0.0418,46799.99
A 1,0.0412,47999.99
A 1,0.0407,49199.99
A 1,0.0404,50399.99
A 1,0.0399,51599.99
A 1,0.0389,52799.99
A 1,0.0382,53999.99
A 1,0.0378,55199.99
A 1,0.0382,56399.99
A 1,0.0382,57599.99
A 1,0.0382,58799.99
A 1,0.0386,59999.99
A 1,0.0385,61199.99
A 1,0.0405,62399.99
A 1,0.0418,63599.99
A 1,0.0422,64799.99
A 1,0.0416,65999.99
A 1,0.0421,67199.99
A 1,0.0428,68399.99
A 1,0.0430,69599.99
A 1,0.0434,70799.99
A 1,0.0449,71999.99
A 2,0.0485,0.01
A 2,0.0482,1200.01
A 2,0.0476,2400.01
A 2,0.0483,3600.01
A 2,0.0480,4800.01
A 2,0.0475,6000.01
A 2,0.0481,7200.01
A 2,0.0473,8400.01
A 2,0.0474,9600.01
A 2,0.0468,10800.01
A 2,0.0471,12000.01
A 2,0.0471,13200.01
A 2,0.0473,14400.01
A 2,0.0474,15600.01
A 2,0.0469,16800.01
A 2,0.0464,18000.01
A 2,0.0472,19200.01
A 2,0.0466,20400.01
A 2,0.0468,21600.01
A 2,0.0464,22800.01
A 2,0.0463,24000.01
A 2,0.0465,25200.01
A 2,0.0464,26400.01
A 2,0.0465,27600.01
A 2,0.0462,28800.01
A 2,0.0463,30000.01
A 2,0.0465,31200.01
A 2,0.0462,32400.01
A 2,0.0459,33600.01
A 2,0.0456,34800.01
A 2,0.0451,36000.01
A 2,0.0457,37200.01
A 2,0.0456,38400.01
A 2,0.0456,39600.01
A 2,0.0458,40800.01
A 2,0.0454,42000.01
