well,od,time
A 1,0.0464,0.00
A 1,0.0458,1199.99
A 1,0.0460,2399.99
A 1,0.0454,3599.99
A 1,0.0455,4799.99
A 1,0.0460,5999.99
A 1,0.0454,7199.99
A 1,0.0450,8399.99
A 1,0.0452,9599.99
A 1,0.0450,10799.99
A 1,0.0461,11999.99
A 1,0.0456,13199.99
A 1,0.0458,14399.99
A 1,0.0447,15599.99
A 1,0.0455,16799.99
A 1,0.0453,17999.99
A 1,0.0449,19199.99
A 1,0.0441,20399.99
A 1,0.0441,21599.99
A 1,0.0448,22799.99
A 1,0.0443,23999.99
A 1,0.0435,25199.99
A 1,0.0439,26399.99
A 1,0.0431,27599.99
A 1,0.0430,28799.99
A 1,0.0434,29999.99
A 1,0.0427,31199.99
A 1,0.0433,32399.99
A 1,0.0429,33599.99
A 1,0.0432,34799.99
A 1,0.0422,35999.99
A 1,0.0414,37199.99
A 1,0.0417,38399.99
A 1,0.0421,39599.99
A 1,0.0412,40799.99
A 1,0.0420,41999.99
A 1,0.0408,43199.99
A 1,0.0399,44399.99
A 1,0.0404,45599.99
A 1,0.0399,46799.99
A 1,0.0399,47999.99
A 1,0.0388,49199.99
A 1,0.0386,50399.99
A 1,0.0382,51599.99
A 1,0.0366,52799.99
A 1,0.0381,53999.99
A 1,0.0381,55199.99
A 1,0.0385,56399.99
A 1,0.0381,57599.99
A 1,0.0385,58799.99
A 1,0.0406,59999.99
A 1,0.0405,61199.99
A 1,0.0419,62399.99
A 1,0.0418,63599.99
A 1,0.0434,64799.99
A 1,0.0443,65999.99
A 1,0.0458,67199.99
A 1,0.0453,68399.99
A 1,0.0466,69599.99
A 1,0.0472,70799.99
A 1,0.0472,71999.99
A 2,0.0478,0.02
A 2,0.0470,1200.01
A 2,0.0471,2400.01
A 2,0.0471,3600.01
A 2,0.0475,4800.01
A 2,0.0469,6000.01
A 2,0.0470,7200.01
A 2,0.0468,8400.01
A 2,0.0471,9600.01
A 2,0.0462,10800.01
A 2,0.0474,12000.01
A 2,0.0471,13200.01
A 2,0.0462,14400.01
A 2,0.0462,15600.01
A 2,0.0472,16800.01
A 2,0.0471,18000.01
A 2,0.0468,19200.01
A 2,0.0463,20400.01
A 2,0.0460,21600.01
A 2,0.0461,22800.01
A 2,0.0457,24000.01
A 2,0.0456,25200.01
A 2,0.0461,26400.01
A 2,0.0457,27600.01
A 2,0.0453,28800.01
A 2,0.0446,30000.01
A 2,0.0448,31200.01
A 2,0.0455,32400.01
A 2,0.0450,33600.01
A 2,0.0461,34800.01
A 2,0.0445,36000.01
A 2,0.0438,37200.01
A 2,0.0440,38400.01
A 2,0.0446,39600.01
A 2,0.0441,40800.01
A 2,0.0450,42000.01
A 2,0.0431,43200.01
A 2,0.0432,44400.01
A 2,0.0429,45600.01
A 2,0.0438,46800.01
A 2,0.0436,48000.01
A 2,0.0420,49200.01
A 2,0.0425,50400.01
A 2,0.0415,51600.01
A 2,0.0419,52800.01
A 2,0.0420,54000.01
A 2,0.0416,55200.01
A 2,0.0418,56400.01
A 2,0.0406,57600.01
A 2,0.0415,58800.01
A 2,0.0401,60000.01
A 2,0.0387,61200.01
A 2,0.0389,62400.01
A 2,0.0387,63600.01
A 2,0.0380,64800.01
A 2,0.0384,66000.01
A 2,0.0392,67200.01
A 2,0.0385,68400.01
A 2,0.0386,69600.01
A 2,0.0389,70800.01
A 2,0.0403,72000.01
A 3,0.0468,0.03
A 3,0.0462,1200.03
A 3,0.0475,2400.03
A 3,0.0464,3600.03
A 3,0.0468,4800.03
A 3,0.0469,6000.03
A 3,0.0463,7200.03
A 3,0.0463,8400.03
A 3,0.0470,9600.03
A 3,0.0465,10800.03
A 3,0.0469,12000.03
A 3,0.0469,13200.03
A 3,0.0465,14400.03
A 3,0.0461,15600.03
A 3,0.0468,16800.03
A 3,0.0464,18000.03
A 3,0.0472,19200.03
A 3,0.0456,20400.03
A 3,0.0453,21600.03
A 3,0.0456,22800.03
A 3,0.0462,24000.03
A 3,0.0453,25200.03
A 3,0.0452,26400.03
A 3,0.0454,27600.03
A 3,0.0452,28800.03
A 3,0.0451,30000.03
A 3,0.0440,31200.03
A 3,0.0450,32400.03
A 3,0.0453,33600.03
A 3,0.0455,34800.03
A 3,0.0444,36000.03
A 3,0.0438,37200.03
A 3,0.0447,38400.03
A 3,0.0450,39600.03
A 3,0.0445,40800.03
A 3,0.0447,42000.03
A 3,0.0442,43200.03
A 3,0.0440,44400.03
A 3,0.0438,45600.03
A 3,0.0441,46800.03
A 3,0.0445,48000.03
A 3,0.0426,49200.03
A 3,0.0430,50400.03
A 3,0.0426,51600.03
A 3,0.0423,52800.03
A 3,0.0424,54000.03
A 3,0.0425,55200.03
A 3,0.0422,56400.03
A 3,0.0417,57600.03
A 3,0.0420,58800.03
A 3,0.0413,60000.03
A 3,0.0396,61200.03
A 3,0.0401,62400.03
A 3,0.0404,63600.03
A 3,0.0398,64800.03
A 3,0.0395,66000.03
A 3,0.0391,67200.03
A 3,0.0376,68400.03
A 3,0.0384,69600.03
A 3,0.0379,70800.03
A 3,0.0383,72000.03
A 4,0.0469,0.05
A 4,0.0471,1200.04
A 4,0.0469,2400.04
A 4,0.0466,3600.04
A 4,0.0469,4800.04
A 4,0.0469,6000.04
A 4,0.0469,7200.04
A 4,0.0467,8400.04
A 4,0.0472,9600.04
A 4,0.0465,10800.04
A 4,0.0475,12000.04
A 4,0.0471,13200.04
A 4,0.0464,14400.04
A 4,0.0460,15600.04
A 4,0.0471,16800.04
A 4,0.0468,18000.04
A 4,0.0473,19200.04
A 4,0.0456,20400.04
A 4,0.0460,21600.04
A 4,0.0466,22800.04
A 4,0.0465,24000.04
A 4,0.0450,25200.04
A 4,0.0461,26400.04
A 4,0.0454,27600.04
A 4,0.0457,28800.04
A 4,0.0454,30000.04
A 4,0.0453,31200.04
A 4,0.0454,32400.04
A 4,0.0463,33600.04
A 4,0.0457,34800.04
A 4,0.0448,36000.04
A 4,0.0443,37200.04
A 4,0.0449,38400.04
A 4,0.0447,39600.04
A 4,0.0447,40800.04
A 4,0.0454,42000.04
A 4,0.0444,43200.04
A 4,0.0446,44400.04
A 4,0.0446,45600.04
A 4,0.0445,46800.04
A 4,0.0440,48000.04
A 4,0.0438,49200.04
A 4,0.0435,50400.04
A 4,0.0434,51600.04
A 4,0.0429,52800.04
A 4,0.0431,54000.04
A 4,0.0429,55200.04
A 4,0.0428,56400.04
A 4,0.0425,57600.04
A 4,0.0430,58800.04
A 4,0.0417,60000.04
A 4,0.0413,61200.04
A 4,0.0412,62400.04
A 4,0.0414,63600.04
A 4,0.0412,64800.04
A 4,0.0409,66000.04
A 4,0.0408,67200.04
A 4,0.0397,68400.04
A 4,0.0395,69600.04
A 4,0.0392,70800.04
A 4,0.0382,72000.04
A 5,0.0452,0.07
A 5,0.0456,1200.06
A 5,0.0452,2400.06
A 5,0.0443,3600.06
A 5,0.0456,4800.06
A 5,0.0449,6000.06
A 5,0.0446,7200.06
A 5,0.0444,8400.06
A 5,0.0448,9600.06
A 5,0.0446,10800.06
A 5,0.0453,12000.06
A 5,0.0449,13200.06
A 5,0.0451,14400.06
A 5,0.0446,15600.06
A 5,0.0452,16800.06
A 5,0.0438,18000.06
A 5,0.0443,19200.06
A 5,0.0434,20400.06
A 5,0.0442,21600.06
A 5,0.0438,22800.06
A 5,0.0440,24000.06
A 5,0.0430,25200.06
A 5,0.0439,26400.06
A 5,0.0432,27600.06
A 5,0.0432,28800.06
A 5,0.0430,30000.06
A 5,0.0425,31200.06
A 5,0.0429,32400.06
A 5,0.0434,33600.06
A 5,0.0425,34800.06
A 5,0.0428,36000.06
A 5,0.0413,37200.06
A 5,0.0424,38400.06
A 5,0.0430,39600.06
A 5,0.0424,40800.06
A 5,0.0429,42000.06
A 5,0.0419,43200.06
A 5,0.0421,44400.06
A 5,0.0422,45600.06
A 5,0.0420,46800.06
A 5,0.0423,48000.06
A 5,0.0407,49200.06
A 5,0.0418,50400.06
A 5,0.0414,51600.06
A 5,0.0417,52800.06
A 5,0.0408,54000.06
A 5,0.0414,55200.06
A 5,0.0410,56400.06
A 5,0.0398,57600.06
A 5,0.0403,58800.06
A 5,0.0397,60000.06
A 5,0.0390,61200.06
A 5,0.0392,62400.06
A 5,0.0393,63600.06
A 5,0.0391,64800.06
A 5,0.0390,66000.06
A 5,0.0387,67200.06
A 5,0.0378,68400.06
A 5,0.0373,69600.06
A 5,0.0372,70800.06
A 5,0.0362,72000.06
A 6,0.0467,0.09
A 6,0.0476,1200.08
A 6,0.0470,2400.08
A 6,0.0465,3600.08
A 6,0.0474,4800.08
A 6,0.0470,6000.08
A 6,0.0465,7200.08
A 6,0.0464,8400.08
A 6,0.0467,9600.08
A 6,0.0461,10800.08
A 6,0.0473,12000.08
A 6,0.0473,13200.08
A 6,0.0470,14400.08
A 6,0.0460,15600.08
A 6,0.0466,16800.08
A 6,0.0470,18000.08
A 6,0.0472,19200.08
A 6,0.0455,20400.08
A 6,0.0462,21600.08
A 6,0.0465,22800.08
A 6,0.0465,24000.08
A 6,0.0457,25200.08
A 6,0.0459,26400.08
A 6,0.0458,27600.08
A 6,0.0453,28800.08
A 6,0.0453,30000.08
A 6,0.0448,31200.08
A 6,0.0459,32400.08
A 6,0.0452,33600.08
A 6,0.0457,34800.08
A 6,0.0452,36000.08
A 6,0.0439,37200.08
A 6,0.0453,38400.08
A 6,0.0455,39600.08
A 6,0.0453,40800.08
A 6,0.0453,42000.08
A 6,0.0447,43200.08
A 6,0.0442,44400.08
A 6,0.0442,45600.08
A 6,0.0438,46800.08
A 6,0.0445,48000.08
A 6,0.0433,49200.08
A 6,0.0439,50400.08
A 6,0.0430,51600.08
A 6,0.0426,52800.08
A 6,0.0431,54000.08
A 6,0.0430,55200.08
A 6,0.0427,56400.08
A 6,0.0414,57600.08
A 6,0.0430,58800.08
A 6,0.0415,60000.08
A 6,0.0407,61200.08
A 6,0.0417,62400.08
A 6,0.0409,63600.08
A 6,0.0404,64800.08
A 6,0.0405,66000.08
A 6,0.0399,67200.08
A 6,0.0392,68400.08
A 6,0.0388,69600.08
A 6,0.0385,70800.08
A 6,0.0380,72000.08
A 7,0.0467,0.11
A 7,0.0472,1200.10
A 7,0.0474,2400.10
A 7,0.0470,3600.10
A 7,0.0475,4800.10
A 7,0.0474,6000.10
A 7,0.0474,7200.10
A 7,0.0470,8400.10
A 7,0.0469,9600.10
A 7,0.0470,10800.10
A 7,0.0473,12000.10
A 7,0.0476,13200.10
A 7,0.0469,14400.10
A 7,0.0463,15600.10
A 7,0.0475,16800.10
A 7,0.0467,18000.10
A 7,0.0476,19200.10
A 7,0.0468,20400.10
A 7,0.0472,21600.10
A 7,0.0464,22800.10
A 7,0.0472,24000.10
A 7,0.0454,25200.10
A 7,0.0462,26400.10
A 7,0.0457,27600.10
A 7,0.0457,28800.10
A 7,0.0462,30000.10
A 7,0.0459,31200.10
A 7,0.0462,32400.10
A 7,0.0457,33600.10
A 7,0.0456,34800.10
A 7,0.0457,36000.10
A 7,0.0450,37200.10
A 7,0.0455,38400.10
A 7,0.0454,39600.10
A 7,0.0454,40800.10
A 7,0.0457,42000.10
A 7,0.0453,43200.10
A 7,0.0447,44400.10
A 7,0.0448,45600.10
A 7,0.0445,46800.10
A 7,0.0450,48000.10
A 7,0.0434,49200.10
A 7,0.0437,50400.10
A 7,0.0432,51600.10
A 7,0.0433,52800.10
A 7,0.0434,54000.10
A 7,0.0436,55200.10
A 7,0.0429,56400.10
A 7,0.0426,57600.10
A 7,0.0426,58800.10
A 7,0.0417,60000.10
A 7,0.0410,61200.10
A 7,0.0412,62400.10
A 7,0.0420,63600.10
A 7,0.0409,64800.10
A 7,0.0408,66000.10
A 7,0.0404,67200.10
A 7,0.0388,68400.10
A 7,0.0384,69600.10
A 7,0.0387,70800.10
A 7,0.0384,72000.10
A 8,0.0459,0.12
A 8,0.0452,1200.12
A 8,0.0452,2400.12
A 8,0.0453,3600.12
A 8,0.0458,4800.12
A 8,0.0453,6000.12
A 8,0.0454,7200.12
A 8,0.0451,8400.12
A 8,0.0454,9600.12
A 8,0.0451,10800.12
A 8,0.0453,12000.12
A 8,0.0453,13200.12
A 8,0.0447,14400.12
A 8,0.0446,15600.12
A 8,0.0447,16800.12
A 8,0.0452,18000.12
A 8,0.0446,19200.12
A 8,0.0440,20400.12
A 8,0.0442,21600.12
A 8,0.0439,22800.12
A 8,0.0442,24000.12
A 8,0.0436,25200.12
A 8,0.0442,26400.12
A 8,0.0433,27600.12
A 8,0.0440,28800.12
A 8,0.0435,30000.12
A 8,0.0434,31200.12
A 8,0.0444,32400.12
A 8,0.0435,33600.12
A 8,0.0433,34800.12
A 8,0.0431,36000.12
A 8,0.0421,37200.12
A 8,0.0429,38400.12
A 8,0.0431,39600.12
A 8,0.0426,40800.12
A 8,0.0434,42000.12
A 8,0.0432,43200.12
A 8,0.0423,44400.12
A 8,0.0423,45600.12
A 8,0.0423,46800.12
A 8,0.0424,48000.12
A 8,0.0410,49200.12
A 8,0.0419,50400.12
A 8,0.0408,51600.12
A 8,0.0412,52800.12
A 8,0.0413,54000.12
A 8,0.0415,55200.12
A 8,0.0408,56400.12
A 8,0.0401,57600.12
A 8,0.0406,58800.12
A 8,0.0396,60000.12
A 8,0.0392,61200.12
A 8,0.0389,62400.12
A 8,0.0386,63600.12
A 8,0.0386,64800.12
A 8,0.0384,66000.12
A 8,0.0382,67200.12
A 8,0.0363,68400.12
A 8,0.0361,69600.12
A 8,0.0375,70800.12
A 8,0.0378,72000.12
A 9,0.0465,0.14
A 9,0.0469,1200.13
A 9,0.0469,2400.13
A 9,0.0467,3600.13
A 9,0.0468,4800.13
A 9,0.0473,6000.13
A 9,0.0465,7200.13
A 9,0.0466,8400.13
A 9,0.0463,9600.13
A 9,0.0457,10800.13
A 9,0.0467,12000.13
A 9,0.0467,13200.13
A 9,0.0471,14400.13
A 9,0.0459,15600.13
A 9,0.0471,16800.13
A 9,0.0475,18000.13
A 9,0.0470,19200.13
A 9,0.0464,20400.13
A 9,0.0461,21600.13
A 9,0.0465,22800.13
A 9,0.0465,24000.13
A 9,0.0454,25200.13
A 9,0.0459,26400.13
A 9,0.0459,27600.13
A 9,0.0454,28800.13
A 9,0.0452,30000.13
A 9,0.0450,31200.13
A 9,0.0456,32400.13
A 9,0.0456,33600.13
A 9,0.0454,34800.13
A 9,0.0449,36000.13
A 9,0.0438,37200.13
A 9,0.0442,38400.13
A 9,0.0445,39600.13
A 9,0.0440,40800.13
A 9,0.0452,42000.13
A 9,0.0442,43200.13
A 9,0.0439,44400.13
A 9,0.0439,45600.13
A 9,0.0440,46800.13
A 9,0.0439,48000.13
A 9,0.0432,49200.13
A 9,0.0429,50400.13
A 9,0.0426,51600.13
A 9,0.0427,52800.13
A 9,0.0428,54000.13
A 9,0.0434,55200.13
A 9,0.0430,56400.13
A 9,0.0413,57600.13
A 9,0.0420,58800.13
A 9,0.0409,60000.13
A 9,0.0400,61200.13
A 9,0.0408,62400.13
A 9,0.0407,63600.13
A 9,0.0392,64800.13
A 9,0.0397,66000.13
A 9,0.0392,67200.13
