well,standard,trep,od_450,od_620,cyto
A1,S1,1,2.07,0.073,2000
A2,S1,2,1.83,0.051,2000
B1,S2,1,1.65,0.055,1000
B2,S2,2,1.423,0.049,1000
C1,S3,1,1.104,0.05,500
C2,S3,2,0.852,0.045,500
D1,S4,1,0.625,0.043,250
D2,S4,2,0.543,0.048,250
E1,S5,1,0.352,0.043,125
E2,S5,2,0.298,0.043,125
F1,S6,1,0.217,0.04,62.5
F2,S6,2,0.2,0.04,62.5
G1,S7,1,0.145,0.041,31.3
G2,S7,2,0.175,0.076,31.3
H1,blank,1,0.066,0.041,0
H2,blank,2,0.068,0.041,0
